team,url
Manchester City,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2023-2024/Manchester-United-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
Fulham,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2023-2024/Everton-Stats
Brentford,https://fbref.com/en/squads/cd051869/2023-2024/Brentford-Stats
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
Luton Town,https://fbref.com/en/squads/e297cd13/2023-2024/Luton-Town-Stats
Burnley,https://fbref.com/en/squads/943e8050/2023-2024/Burnley-Stats
Sheffield Utd,https://fbref.com/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
